fips,totalvotes,mode,dem,repub,other,pop_tot,pop_male,pop_female,hispanic,labor_total,labor_armed,labor_employed,labor_unemployed,income_median,income_percapita,income_poverty,native_yes,native_no,houses_tot,income_10,income_10-15,income_15-25,income_25,marital_single,marital_married,marital_sepdiv,marital_widow,edu_low,edu_mid,edu_high,edu_low_age_18,edu_low_age_45,edu_low_age_65,edu_mid_age_18,edu_mid_age_45,edu_mid_age_65,edu_high_age_18,edu_high_age_45,edu_high_age_65,race_wht_total,race_wht_male,race_wht_female,race_blk_total,race_blk_male,race_blk_female,race_other_total,race_other_male,race_other_female,CENSUSAREA,pop_density,year
1091,11471,TOTAL,5926,5516,29,21296,10064,11232,72,8482.0,29.0,7524.0,929.0,32940.0,18323.0,4714.0,21235.0,61.0,8494,1427.0,751.0,1412.0,4904.0,5135,7506,2729,1576,3274,10009,2523,1082,1025,1167,4437,3780,1792,1096,1014,413,9762,4768,4994,11309,5145,6164,225,151,74,976.882,21.79997174684353,2008
1093,12355,TOTAL,2600,9536,219,30792,15232,15560,587,13682.0,14.0,12584.0,1084.0,32769.0,19030.0,5345.0,30344.0,448.0,12744,1391.0,1092.0,2566.0,7695.0,4835,14577,3715,2234,6711,15474,1940,1878,2358,2475,7092,5645,2737,886,706,348,28844,14137,14707,892,547,345,1056,548,508,742.292,41.48232770931116,2008
1095,33166,TOTAL,7038,25727,401,90867,44733,46134,9891,41812.0,43.0,39115.0,2654.0,37661.0,19875.0,17913.0,84099.0,6768.0,34433,3690.0,3192.0,5131.0,22420.0,15510,39898,10612,5810,17975,40850,9108,8656,4059,5260,18838,15573,6439,3743,3860,1505,85322,41912,43410,1471,739,732,4074,2082,1992,565.842,160.5872310645021,2008
1097,181424,TOTAL,82181,98049,1194,408620,196200,212420,8854,193846.0,830.0,174321.0,18695.0,40996.0,21548.0,76987.0,395596.0,13024.0,153302,17971.0,11183.0,19245.0,104903.0,98124,151393,50361,23346,55398,194074,54992,24317,15784,15297,96487,69013,28574,25285,22091,7616,250336,122619,127717,140847,64602,76245,17437,8979,8458,1229.435,332.3640534066462,2008
1099,11252,TOTAL,5025,6175,52,23329,11262,12067,248,9731.0,6.0,8708.0,1017.0,30235.0,17652.0,5863.0,23022.0,307.0,9191,1599.0,932.0,1264.0,5396.0,4760,8952,3073,1659,4249,11302,1735,1502,1304,1443,5257,4278,1767,602,864,269,12981,6348,6633,9474,4438,5036,874,476,398,1025.675,22.745021571160457,2008
1101,104743,TOTAL,62166,42031,546,228018,108532,119486,7177,112883.0,1902.0,102224.0,8757.0,43725.0,24622.0,41324.0,219023.0,8995.0,88772,8233.0,6841.0,10576.0,63122.0,63910,76296,28701,12085,27667,97439,46164,13602,6838,7227,53784,30396,13259,21152,18644,6368,95733,46943,48790,122759,56791,65968,9526,4798,4728,784.247,290.74768535933197,2008
1103,50542,TOTAL,13895,36014,633,117632,57601,60031,7987,57598.0,199.0,52500.0,4899.0,44349.0,23090.0,17351.0,111686.0,5946.0,46375,3778.0,2646.0,6733.0,33218.0,21658,52881,13383,6308,17697,55942,15499,8623,4686,4388,26051,20327,9564,6599,6709,2191,97135,47744,49391,13893,6588,7305,6604,3269,3335,579.337,203.045895566829,2008
1105,6159,TOTAL,4457,1679,23,10684,4901,5783,124,3957.0,26.0,3325.0,606.0,25950.0,13433.0,2807.0,10672.0,12.0,3828,743.0,391.0,742.0,1952.0,3536,3222,926,771,2089,4964,919,667,743,679,2646,1482,836,364,351,204,3176,1456,1720,7368,3436,3932,140,9,131,719.664,14.845816936792726,2008
1107,10067,TOTAL,4594,5434,39,19917,9437,10480,225,8436.0,0.0,7246.0,1190.0,28280.0,16278.0,5317.0,19827.0,90.0,8008,1398.0,967.0,1342.0,4301.0,4405,7612,2492,1470,3250,10262,1556,1019,890,1341,4667,3796,1799,511,877,168,11332,5547,5785,8400,3831,4569,185,59,126,881.408,22.596799665988964,2008
1109,13955,TOTAL,5879,8004,72,32147,15200,16947,705,15642.0,71.0,14143.0,1428.0,29181.0,19013.0,8865.0,30903.0,1244.0,13013,2454.0,1150.0,2109.0,7300.0,10363,10977,3536,1729,4531,15863,4969,1946,1393,1192,9287,4432,2144,2732,1557,680,18967,9189,9778,11663,5262,6401,1517,749,768,672.094,47.83110695825286,2008
1111,10384,TOTAL,3064,7175,145,22817,11254,11563,563,10019.0,29.0,8944.0,1046.0,34593.0,19844.0,4706.0,22464.0,353.0,8529,889.0,820.0,1251.0,5569.0,4603,9529,2692,1573,4907,10599,1905,1755,1575,1577,4980,3781,1838,671,836,398,17609,8729,8880,4781,2245,2536,427,280,147,580.55,39.30238566876238,2008
