fips,totalvotes,mode,dem,repub,other,pop_tot,pop_male,pop_female,hispanic,labor_total,labor_armed,labor_employed,labor_unemployed,income_median,income_percapita,income_poverty,native_yes,native_no,houses_tot,income_10,income_10-15,income_15-25,income_25,marital_single,marital_married,marital_sepdiv,marital_widow,edu_low,edu_mid,edu_high,edu_low_age_18,edu_low_age_45,edu_low_age_65,edu_mid_age_18,edu_mid_age_45,edu_mid_age_65,edu_high_age_18,edu_high_age_45,edu_high_age_65,race_wht_total,race_wht_male,race_wht_female,race_blk_total,race_blk_male,race_blk_female,race_other_total,race_other_male,race_other_female,CENSUSAREA,pop_density
8055,3714,TOTAL,1953,1646,115,6550,3253,3297,2292,2630,0,2253,377,32932,23440,1224,6326.0,224.0,2864,257,282,501,1824,1339,2908,869,506,862,3135,1466,364,202,296,928,1278,929,279,652,535,5261,2605,2656,41,40,1,1248,608,640,1593.282,4.11101110788925
8057,848,TOTAL,216,600,32,1389,750,639,257,796,0,786,10,45606,25818,203,1288.0,101.0,644,60,39,67,478,173,708,178,77,171,751,185,98,35,38,219,358,174,44,68,73,1283,696,587,1,1,0,105,53,52,1620.96,0.8568996150429375
8059,311052,TOTAL,159296,144197,7559,546162,271437,274725,81148,308558,246,286798,21514,69698,36427,47009,511065.0,35097.0,220814,9652,6975,17093,187094,126585,237263,64293,21677,30879,234980,162757,16164,8293,6422,105146,88315,41519,67569,68658,26530,496471,246448,250023,5869,3555,2314,43822,21434,22388,774.026,705.6119561875183
8061,821,TOTAL,118,677,26,1407,658,749,85,724,1,700,23,39375,22173,203,1375.0,32.0,559,53,35,87,384,263,580,175,96,99,713,191,57,8,34,237,283,193,103,62,26,1330,630,700,11,5,6,66,23,43,1785.957,0.78781292046785
8063,3702,TOTAL,838,2785,79,8122,4521,3601,1548,3810,3,3558,249,41495,21330,1135,7464.0,658.0,3053,171,226,463,2193,1922,3402,728,552,1086,4419,794,508,240,338,2002,1493,924,271,374,149,7443,3979,3464,279,279,0,400,263,137,2161.681,3.757261131499051
8065,3040,TOTAL,1839,1098,103,7311,3953,3358,2158,4303,0,4022,281,46174,25998,872,6508.0,803.0,3106,227,114,339,2426,1592,2902,1099,278,447,3578,1618,303,120,24,1656,1449,473,822,620,176,6476,3392,3084,38,18,20,797,543,254,383.907,19.043674639951863
8067,29184,TOTAL,15489,12794,901,52547,26698,25849,6454,28966,8,27219,1739,58456,31016,5609,50823.0,1724.0,21124,1248,887,1724,17265,14015,21703,6083,2086,2671,23027,16389,1393,830,448,11606,8193,3228,6684,6598,3107,46210,23599,22611,204,91,113,6133,3008,3125,1699.695,30.915546612774644
8069,180180,TOTAL,92747,82376,5057,311435,154964,156471,33750,172892,290,159635,12967,58844,31082,41375,295267.0,16168.0,122743,7240,5296,12219,97988,86753,130938,29472,10240,12972,139490,94038,6629,3257,3086,75789,41860,21841,43490,35240,15308,282786,140421,142365,2948,1780,1168,25701,12763,12938,2633.991,118.23692639800213
8071,6862,TOTAL,3445,3263,154,14789,7596,7193,6235,6914,3,6287,624,45707,23365,2323,14308.0,481.0,5890,585,400,772,4133,3448,6329,1730,838,1706,8220,1908,633,500,573,3349,3050,1821,518,840,550,12504,6421,6083,192,153,39,2093,1022,1071,4775.344,3.0969496647780765
8073,2287,TOTAL,552,1687,48,5462,3261,2201,712,1796,0,1654,142,43701,17594,620,5187.0,275.0,1757,152,168,201,1236,1863,2025,518,276,911,2911,666,602,182,127,1428,816,667,238,296,132,4594,2409,2185,665,663,2,203,189,14,2586.482,2.111748699584996
8075,9124,TOTAL,2712,6179,233,22604,12369,10235,3589,12048,31,10603,1414,41749,23533,3630,21106.0,1498.0,7825,602,627,939,5657,6859,8380,2748,1076,2408,13439,2413,1308,432,668,6816,4371,2252,861,981,571,20866,11351,9515,287,244,43,1451,774,677,1844.921,12.252015126934975
8077,72947,TOTAL,23846,47472,1629,147509,73346,74163,20161,73943,0,67168,6775,48610,26518,22726,142434.0,5075.0,58966,4681,3239,6336,44710,32365,61813,17903,7227,12714,75486,25469,6846,3336,2532,34914,25173,15399,9237,10744,5488,135965,67467,68498,1060,715,345,10484,5164,5320,3341.087,44.150002678768914
8079,650,TOTAL,291,344,15,704,351,353,19,342,0,340,2,47986,34305,48,697.0,7.0,375,12,19,72,272,73,451,90,55,23,381,259,0,13,10,52,153,176,50,121,88,676,332,344,5,0,5,23,19,4,877.781,0.802022372322937
8081,6168,TOTAL,1330,4695,143,13286,6965,6321,1896,6978,0,6593,385,50123,24623,1516,12552.0,734.0,4890,361,258,573,3698,2573,5626,1453,726,1085,7448,1257,588,265,232,3330,3030,1088,502,527,228,12331,6447,5884,25,25,0,930,493,437,4750.812,2.79657456451655
8083,12318,TOTAL,4542,7401,375,25569,12628,12941,3020,12325,18,11126,1181,43431,23611,4636,24840.0,729.0,10659,813,801,1247,7798,5106,10962,3445,1185,2428,12543,4756,1278,536,614,4914,5112,2517,1271,2079,1406,21246,10424,10822,75,44,31,4248,2160,2088,2040.12,12.533086289041822
8085,20130,TOTAL,6138,13552,440,40885,20024,20861,8199,19486,15,17539,1932,44885,23408,6915,38073.0,2812.0,16815,1057,1135,2387,12236,6641,19770,4590,2113,4519,19685,7176,2124,1300,1095,7488,7768,4429,2033,2671,2472,37489,18213,19276,276,73,203,3120,1738,1382,2242.532,18.231623896559782
